delegation_id,delegation_name
Q114753595,South Korea at the 2024 Summer Olympics
Q113581713,United States at the 2024 Summer Olympics
Q114244785,France at the 2024 Summer Olympics
Q116778664,Turkey at the 2024 Summer Olympics
Q114672489,China at the 2024 Summer Olympics
Q116859491,Mexico at the 2024 Summer Olympics
Q114132359,Germany at the 2024 Summer Olympics
Q42911977,Great Britain at the 2024 Summer Olympics
Q42911949,Netherlands at the 2024 Summer Olympics
Q42911743,Spain at the 2024 Summer Olympics
Q42911876,Jamaica at the 2024 Summer Olympics
Q120692932,Botswana at the 2024 Summer Olympics
Q122617464,Zambia at the 2024 Summer Olympics
Q116778582,Kenya at the 2024 Summer Olympics
Q114363515,Canada at the 2024 Summer Olympics
Q116836095,Algeria at the 2024 Summer Olympics
Q114244710,Norway at the 2024 Summer Olympics
Q116783438,Uganda at the 2024 Summer Olympics
Q116778616,Ethiopia at the 2024 Summer Olympics
Q113504733,Brazil at the 2024 Summer Olympics
Q116783515,Morocco at the 2024 Summer Olympics
Q116769160,South Africa at the 2024 Summer Olympics
Q114401502,Belgium at the 2024 Summer Olympics
Q116923433,Ecuador at the 2024 Summer Olympics
Q114244700,New Zealand at the 2024 Summer Olympics
Q114753557,Qatar at the 2024 Summer Olympics
Q42912047,Sweden at the 2024 Summer Olympics
Q114753539,Greece at the 2024 Summer Olympics
Q114244642,Italy at the 2024 Summer Olympics
Q42911968,Portugal at the 2024 Summer Olympics
Q42912127,Lithuania at the 2024 Summer Olympics
Q114244863,Australia at the 2024 Summer Olympics
Q42911843,Hungary at the 2024 Summer Olympics
Q114666626,Ukraine at the 2024 Summer Olympics
Q114753550,Pakistan at the 2024 Summer Olympics
Q114344830,India at the 2024 Summer Olympics
Q121225246,Grenada at the 2024 Summer Olympics
Q120441921,Saint Lucia at the 2024 Summer Olympics
Q113570287,Dominican Republic at the 2024 Summer Olympics
Q116779437,Bahrain at the 2024 Summer Olympics
Q114244612,Poland at the 2024 Summer Olympics
Q120402764,Puerto Rico at the 2024 Summer Olympics
Q121890302,Dominica at the 2024 Summer Olympics
Q42911724,Croatia at the 2024 Summer Olympics
Q114227269,Japan at the 2024 Summer Olympics
Q114233084,Czech Republic at the 2024 Summer Olympics
Q42911725,Denmark at the 2024 Summer Olympics
Q120689846,Thailand at the 2024 Summer Olympics
Q120785179,Malaysia at the 2024 Summer Olympics
Q114281502,Chinese Taipei at the 2024 Summer Olympics
Q121281873,Indonesia at the 2024 Summer Olympics
Q114753567,Serbia at the 2024 Summer Olympics
Q121840389,Uzbekistan at the 2024 Summer Olympics
Q125895448,Cape Verde at the 2024 Summer Olympics
Q117837791,Kyrgyzstan at the 2024 Summer Olympics
Q114244624,Bulgaria at the 2024 Summer Olympics
Q115316038,Cuba at the 2024 Summer Olympics
Q42911757,Georgia at the 2024 Summer Olympics
Q42911891,Kazakhstan at the 2024 Summer Olympics
Q117052969,Azerbaijan at the 2024 Summer Olympics
Q122974265,Tajikistan at the 2024 Summer Olympics
Q120212827,Philippines at the 2024 Summer Olympics
Q123010892,North Korea at the 2024 Summer Olympics
Q114244837,Ireland at the 2024 Summer Olympics
Q122004696,Panama at the 2024 Summer Olympics
Q118949921,IOC Refugee Olympic Team at the 2024 Summer Olympics
Q42911730,Slovakia at the 2024 Summer Olympics
Q42911914,Moldova at the 2024 Summer Olympics
Q114244740,Switzerland at the 2024 Summer Olympics
Q117834950,Argentina at the 2024 Summer Olympics
Q114753279,Egypt at the 2024 Summer Olympics
Q116973914,Hong Kong at the 2024 Summer Olympics
Q116957584,Tunisia at the 2024 Summer Olympics
Q113997321,Israel at the 2024 Summer Olympics
Q114752927,Armenia at the 2024 Summer Olympics
Q113570274,Colombia at the 2024 Summer Olympics
Q42911998,Romania at the 2024 Summer Olympics
Q123751791,Individual Neutral Athletes at the 2024 Summer Olympics
Q121782344,Mongolia at the 2024 Summer Olympics
Q118949385,Kosovo at the 2024 Summer Olympics
Q42911735,Slovenia at the 2024 Summer Olympics
Q117079051,Austria at the 2024 Summer Olympics
Q118368956,Fiji at the 2024 Summer Olympics
Q118313844,Singapore at the 2024 Summer Olympics
Q42911716,Cyprus at the 2024 Summer Olympics
Q116769145,Peru at the 2024 Summer Olympics
Q118950798,Guatemala at the 2024 Summer Olympics
Q118950653,Chile at the 2024 Summer Olympics
Q114831425,Iran at the 2024 Summer Olympics
Q42911720,Ivory Coast at the 2024 Summer Olympics
Q42911637,Albania at the 2024 Summer Olympics
