medalist_id,country_id,medalist_name,date_of_birth,gender,birthplace_id,delegation_id,event_id,sport_id,medal
Q11739253,Q884,Kim Woo-jin,1992-06-20,male,Q50309,Q114753595,Q117156626,Q108429,gold
Q1156472,Q30,Brady Ellison,1988-10-27,male,Q51682,Q113581713,Q117156626,Q108429,silver
Q18001487,Q884,Lee Woo-seok,1997-08-07,male,Q20934,Q114753595,Q117156626,Q108429,bronze
Q107619893,Q884,Kim Je-deok,2004-04-12,male,Q41154,Q114753595,Q117156627,Q108429,gold
Q11739253,Q884,Kim Woo-jin,1992-06-20,male,Q50309,Q114753595,Q117156627,Q108429,gold
Q18001487,Q884,Lee Woo-seok,1997-08-07,male,Q20934,Q114753595,Q117156627,Q108429,gold
Q125903239,Q142,Baptiste Addis,2006-12-07,male,Q6548,Q114244785,Q117156627,Q108429,silver
Q42361291,Q142,Thomas Chirault,1997-09-15,male,Q115426,Q114244785,Q117156627,Q108429,silver
Q3164706,Q142,Jean-Charles Valladont,1989-03-20,male,Q37776,Q114244785,Q117156627,Q108429,silver
Q20988356,Q43,Mete Gazoz,1999-06-08,male,Q406,Q116778664,Q117156627,Q108429,bronze
Q126709582,Q43,Abdullah Yıldırmış,,male,Q406,Q116778664,Q117156627,Q108429,bronze
Q122922472,Q884,Lim Si-hyeon,2003-06-13,female,Q42056,Q114753595,Q117156624,Q108429,gold
Q126684357,Q884,Nam Su-hyeon,2005-01-27,female,Q42112,Q114753595,Q117156624,Q108429,silver
Q107125220,Q142,Lisa Barbelin,2000-04-10,female,Q21840,Q114244785,Q117156624,Q108429,bronze
Q126684356,Q884,Jeon Hun-young,1994-05-29,female,Q20934,Q114753595,Q117156625,Q108429,gold
Q122922472,Q884,Lim Si-hyeon,2003-06-13,female,Q42056,Q114753595,Q117156625,Q108429,gold
Q126684357,Q884,Nam Su-hyeon,2005-01-27,female,Q42112,Q114753595,Q117156625,Q108429,gold
Q67916445,Q148,An Qixuan,2000-12-03,female,Q994523,Q114672489,Q117156625,Q108429,silver
Q17607652,Q148,Li Jiaman,1997-08-18,female,Q956,Q114672489,Q117156625,Q108429,silver
Q107619645,Q148,Yang Xiaolei,2000-06-28,female,Q57970,Q114672489,Q117156625,Q108429,silver
Q127977961,Q96,Ángela Ruiz,2006-07-28,female,Q53077,Q116859491,Q117156625,Q108429,bronze
Q1756257,Q96,Alejandra Valencia,1994-10-17,female,Q189138,Q116859491,Q117156625,Q108429,bronze
Q107617850,Q96,Ana Paula Vázquez,2000-10-05,female,Q1013930,Q116859491,Q117156625,Q108429,bronze
Q11739253,Q884,Kim Woo-jin,1992-06-20,male,Q50309,Q114753595,Q117156628,Q108429,gold
